,TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,Date
3,4,4,Kingdom of the Planet of the Apes,"$2,400,000",+98.2%,-29.4%,"3,450",$695,"$133,596,059",22,20th Century Studios,2024-05-31
4,5,-,Haikyuu!! The Dumpster Battle,"$1,915,000",-,-,"1,119","$1,711","$1,915,000",1,Crunchyroll,2024-05-31
5,6,6,The Fall Guy,"$1,220,000",+115.2%,-24.8%,"2,826",$431,"$77,305,405",29,Universal Pictures,2024-05-31
6,7,5,The Strangers: Chapter 1,"$1,100,000",+83.9%,-33.4%,"2,527",$435,"$25,865,840",15,Lionsgate Films,2024-05-31
7,8,-,In a Violent Nature,"$1,022,952",-,-,"1,426",$717,"$1,022,952",1,IFC Films,2024-05-31
8,9,-,Ezra,"$571,590",-,-,"1,320",$433,"$571,590",1,Bleecker Street Media,2024-05-31
9,10,-,Young Woman and the Sea,"$500,000",-,-,-,-,"$500,000",1,Walt Disney Studios Motion Pictures,2024-05-31
10,11,-,Summer Camp,"$390,250",-,-,"1,787",$218,"$390,250",1,Roadside Attractions,2024-05-31
11,12,10,Babes,"$380,000",+348%,-21%,"1,118",$339,"$2,230,493",15,-,2024-05-31
12,13,7,Sight,"$310,498",+20.9%,-71.8%,"2,118",$146,"$5,113,608",8,Angel Studios,2024-05-31
13,14,11,Tarot,"$122,000",+73.9%,-40.5%,503,$242,"$17,611,392",29,Screen Gems,2024-05-31
14,15,-,I Saw the TV Glow,"$106,540",-,-32.4%,292,$364,"$3,323,676",29,A24,2024-05-31
15,16,9,Back to Black,"$76,000",-21.4%,-75.1%,672,$113,"$5,829,010",15,Focus Features,2024-05-31
16,17,-,Civil War,"$49,875",-,-36.8%,235,$212,"$68,309,305",50,A24,2024-05-31
17,18,13,Unsung Hero,"$36,000",+24.3%,-55.1%,288,$125,"$20,100,357",36,Lionsgate Films,2024-05-31
18,19,14,Kung Fu Panda 4,"$32,000",+22.8%,-48%,215,$148,"$193,457,355",85,Universal Pictures,2024-05-31
19,20,18,Escape from Germany,"$19,109",+90.7%,-26.1%,45,$424,"$2,284,545",50,Susan Tuckett Media,2024-05-31
20,21,-,Robot Dreams,"$17,752",-,-,2,"$8,876","$17,752",1,-,2024-05-31
21,22,-,Handling the Undead,"$2,862",-,-,1,"$2,862","$2,862",1,-,2024-05-31
0,1,1,The Garfield Movie,"$5,795,000",+54.1%,-29.6%,"4,108","$1,410","$47,127,331",9,Sony Pictures Releasing,2024-06-01
1,2,2,Furiosa: A Mad Max Saga,"$4,400,000",+44.3%,-47.3%,"3,864","$1,138","$46,367,619",9,Warner Bros.,2024-06-01
2,3,3,IF,"$4,390,000",+52.4%,-28.4%,"3,783","$1,160","$76,898,950",16,Paramount Pictures,2024-06-01
3,4,4,Kingdom of the Planet of the Apes,"$3,700,000",+54.2%,-27.4%,"3,450","$1,072","$137,296,059",23,20th Century Studios,2024-06-01
4,5,6,The Fall Guy,"$1,750,000",+43.4%,-23.7%,"2,826",$619,"$79,055,405",30,Universal Pictures,2024-06-01
5,6,7,The Strangers: Chapter 1,"$1,485,000",+35%,-28.5%,"2,527",$587,"$27,350,840",16,Lionsgate Films,2024-06-01
6,7,5,Haikyuu!! The Dumpster Battle,"$950,000",-50.4%,-,"1,119",$848,"$2,865,000",2,Crunchyroll,2024-06-01
7,8,8,In a Violent Nature,"$645,819",-36.9%,-,"1,426",$452,"$1,668,771",2,IFC Films,2024-06-01
8,9,13,Sight,"$424,340",+36.7%,-52.1%,"2,118",$200,"$5,537,948",9,Angel Studios,2024-06-01
9,10,11,Summer Camp,"$395,835",+1.4%,-,"1,787",$221,"$786,085",2,Roadside Attractions,2024-06-01
10,11,9,Ezra,"$370,904",-35.1%,-,"1,320",$280,"$942,494",2,Bleecker Street Media,2024-06-01
11,12,12,Babes,"$280,000",-26.3%,-6.6%,"1,118",$250,"$2,510,493",16,-,2024-06-01
12,13,14,Tarot,"$168,000",+37.7%,-42.5%,503,$333,"$17,779,392",30,Screen Gems,2024-06-01
13,14,15,I Saw the TV Glow,"$140,160",+31.6%,-23.3%,292,$480,"$3,463,836",30,A24,2024-06-01
14,15,16,Back to Black,"$100,000",+31.6%,-75%,672,$148,"$5,929,010",16,Focus Features,2024-06-01
15,16,17,Civil War,"$70,565",+41.5%,-39.6%,235,$300,"$68,379,870",51,A24,2024-06-01
16,17,18,Unsung Hero,"$53,500",+48.6%,-51.1%,288,$185,"$20,153,857",37,Lionsgate Films,2024-06-01
17,18,19,Kung Fu Panda 4,"$44,000",+37.5%,-52.9%,215,$204,"$193,501,355",86,Universal Pictures,2024-06-01
18,19,20,Escape from Germany,"$23,343",+22.2%,-46.8%,45,$518,"$2,307,888",51,Susan Tuckett Media,2024-06-01
19,20,21,Robot Dreams,"$8,184",-53.9%,-,2,"$4,092","$25,936",2,-,2024-06-01
20,21,22,Handling the Undead,"$3,069",+7.2%,-,1,"$3,069","$5,931",2,-,2024-06-01
0,1,1,The Garfield Movie,"$4,445,000",-23.3%,-39.7%,"4,108","$1,082","$51,572,331",10,Sony Pictures Releasing,2024-06-02
1,2,3,IF,"$3,530,000",-19.6%,-38%,"3,783",$933,"$80,429,950",17,Paramount Pictures,2024-06-02
2,3,2,Furiosa: A Mad Max Saga,"$3,300,000",-25%,-56.7%,"3,864",$854,"$49,667,619",10,Warner Bros.,2024-06-02
3,4,4,Kingdom of the Planet of the Apes,"$2,700,000",-27%,-44.9%,"3,450",$782,"$139,996,059",24,20th Century Studios,2024-06-02
4,5,5,The Fall Guy,"$1,230,000",-29.7%,-40.2%,"2,826",$435,"$80,285,405",31,Universal Pictures,2024-06-02
5,6,6,The Strangers: Chapter 1,"$1,015,000",-31.6%,-45.2%,"2,527",$401,"$28,365,840",17,Lionsgate Films,2024-06-02
6,7,7,Haikyuu!! The Dumpster Battle,"$635,000",-33.2%,-,"1,119",$567,"$3,500,000",3,Crunchyroll,2024-06-02
7,8,8,In a Violent Nature,"$450,229",-30.3%,-,"1,426",$315,"$2,119,000",3,IFC Films,2024-06-02
8,9,9,Sight,"$350,080",-17.5%,-56.7%,"2,118",$165,"$5,888,028",10,Angel Studios,2024-06-02
9,10,10,Summer Camp,"$277,085",-30%,-,"1,787",$155,"$1,063,170",3,Roadside Attractions,2024-06-02
10,11,12,Babes,"$250,000",-10.7%,-10.4%,"1,118",$223,"$2,760,493",17,-,2024-06-02
11,12,11,Ezra,"$241,087",-35%,-,"1,320",$182,"$1,183,581",3,Bleecker Street Media,2024-06-02
12,13,14,I Saw the TV Glow,"$112,128",-20%,-35.4%,292,$384,"$3,575,964",31,A24,2024-06-02
13,14,13,Tarot,"$110,000",-34.5%,-58.2%,503,$218,"$17,889,392",31,Screen Gems,2024-06-02
14,15,15,Back to Black,"$74,000",-26%,-80.6%,672,$110,"$6,003,010",17,Focus Features,2024-06-02
15,16,16,Civil War,"$52,924",-25%,-52.3%,235,$225,"$68,432,794",52,A24,2024-06-02
16,17,17,Unsung Hero,"$36,500",-31.8%,-66.1%,288,$126,"$20,190,357",38,Lionsgate Films,2024-06-02
17,18,18,Kung Fu Panda 4,"$33,000",-25%,-59.7%,215,$153,"$193,535,000",87,Universal Pictures,2024-06-02
18,19,20,Robot Dreams,"$6,600",-19.4%,-,2,"$3,300","$32,536",3,-,2024-06-02
19,20,19,Escape from Germany,"$2,500",-89.3%,-42.7%,35,$71,"$2,311,067",52,Susan Tuckett Media,2024-06-02
20,21,21,Handling the Undead,"$2,100",-31.6%,-,1,"$2,100","$8,031",3,-,2024-06-02
